source_name,id_szkoly_rspo
2 SLO z Oddz. Miedzynar. im. P. Jasienicy STO,27005
CLXI LO im. Wladyslawa Bartoszewskiego,266884
CXXXVII LO z Oddz. Dwujez. im. R. Schumana,44248
II LO z Oddz. Dwujez. im. Stefana Batorego,56095
Korczakowskie LO,480745
LO nr 50 SKiE,29755
Prywatne LO Sióstr Zmartwychwstanek,29709
Spoleczne LO nr 1 im. Jana Nowaka-Jezioranskiego STO,263354
Spoleczne LO Startowa 4K,265873
XIII LO z Oddz. Dwujez. im. plk. L. Lisa-Kuli,59665
XLIX LO z Oddz. Dwujez. im. J. W. Goethego,22922
XVII LO z Oddz. Dwujez. im. A. F. Modrzewskiego,27918
XXII LO z Oddz. Dwujez. im. Jose Marti,23486
XXXV LO z Oddz. Dwujez. im. Boleslawa Prusa,25407
CLXI Liceum Ogólnoksztalcace im. Wladyslawa Bartoszewskiego,266884
XLIVLiceum Ogólnoksztalcace im. Stefana Banacha,22897
CLXIILiceum Ogólnoksztalcace im. Szarych Szeregów,267034
XCIX LO z Oddz. Dwujez. im. Zbigniewa Herberta,88068
Spoleczne Liceum Ogólnoksztalcace nr 99 STO,270506
